"CPR     ";"TPCOBRPGTOHAVER";"Tipo de cobrança parcela de haver";"1";"Tipo de cobrança utilizado para lançar a parcela de haver";"N";" ";0
"CPR     ";"SNBUSCATPCOBR  ";"Busca o Tipo de Cobrança pela Data de Referência";"N";"Parâmetro utilizado no relatório Relação de Contas em Aberto, se estiver preenchido com "S" o tipo de cobrança da conta será tratado de acordo com a Data de Referência.";"S";" ";0
"CPR     ";"MODRECIBOCREDIT";"Modelo de Recibo para Lançamento de crédito no cai";"13";"Deve ser preenchido com o código do modelo de recibo que deve ser impresso quando for registrado um lançamento de crédito no caixas/bancos. Este parâmetro é utilizado na emissão do recibo pela tela de registrar lançamentos.";"N";" ";0
"CPR     ";"LANCABATIMENTO ";"Transação haver lançamento automático c.receber";"";"Pode ser preenchido com o código do lançamento de abatimento para as contas a pagar durante o faturamento do pedido do cliente no sistema de distribuidora.Este lançamento deve estar cadastrado como desconto de contas a pagar.";"N";" ";0
"CPR     ";"SNBOXSELRECIBO ";"Apresentar box para confirmar Emissão de Recibo?";"N";"Se preenchido com "S" será apresentado um box para confirmar a emissão do recibo.É utilizado na emissão de recibo que é chamado no momento da  baixa de conta.Obs: O sistema só emite recibo se estiver marcado no Histórico do Caixas/Bancos para emitir recibo.";"S";" ";0
"CPR     ";"SNNOAUTCONTA   ";"Exigir Nº Autorização para Tipo Cobr. no Reg. Cont";"N";"Determina se exige ou não o número da autorização para tipo de cobrança cartão na tela de registrar conta";"S";" ";0
"CPR     ";"SNAGRUCONTAPAG ";"Agrupa contas baixa pagar";"N";"Agrupar contas na baixa de contas a pagar. Deve ser S ou N.";"C";" ";0
"CPR     ";"SNCHEREGTRAN   ";"Emitir Cheque na Transferência Caixa/Banco?";"N";"Deve ser preenchido com "S" ou "N" para emitir ou não cheque na transferência.";"S";" ";0
"CPR     ";"SNUTILNATUREZA ";"Utiliza Natureza Financeiro";"N";"Utiliza natureza no financeiro. Deve ser S ou N";"C";" ";0
"CPR     ";"SNCONTASPAGAR  ";"Trabalha com Contas a Pagar";"S";"Deve ser preenchido com "S" para a empresa que controla Contas a Pagar ou com "N"  para  aempresa que não trabalha com Contas a Pagar.";"S";" ";0
"CPR     ";"MODRECCONVITE  ";"Modelo de Recibo para Convite do Sócio";"";"Deve ser preenchido com o código do modelo de recibo que deve ser impresso quando for efetuada a compra de um convite pelo sócio.";"N";" ";0
