 CEST;NCM/ST;Descricao CEST
0800300;68040000,68041000,68042111,68042119,68042190,68042211,68042219,68042290,68042300,68043000;MOS E ARTEFATOS SEMELHANTES, SEM ARMACAO, PARA MOER, DESFIBRAR, TRITURAR, AMOLAR, POLIR, RETIFICAR OU CORTAR, PEDRAS PARA AMOLAR OU PARA POLIR, MANUALMENTE, E SUAS PARTES, DE PEDRAS NATURAIS, DE ABRASIVOS NATURAIS OU ARTIFICIAIS AGLOMERADOS OU DE CERAMICA, MESMO COM PARTES DE OUTRAS MATERIAS
0800400;82010000,82011000,82013000,82014000,82015000,82016000,82019000;PAS, ALVIOES, PICARETAS, ENXADAS, SACHOS, FORCADOS E FORQUILHAS, ANCINHOS E RASPADEIRAS, MACHADOS, PODOES E FERRAMENTAS SEMELHANTES COM GUME, TESOURAS DE PODAR DE TODOS OS TIPOS, FOICES E FOICINHAS, FACAS PARA FENO OU PARA PALHA, TESOURAS PARA SEBES, CUNHAS E OUTRAS FERRAMENTAS MANUAIS PARA AGRICULTURA, HORTICULTURA OU SILVICULTURA
0800500;82022000;FOLHAS DE SERRAS DE FITA
0800600;82029100;LAMINAS DE SERRAS MAQUINAS
0800700;82020000,82021000,82023100,82023900,82024000,82029910,82029990;SERRAS MANUAIS E OUTRAS FOLHAS DE SERRAS (INCLUIDAS AS FRESAS-SERRAS E AS FOLHAS NAO DENTADAS PARA SERRAR), EXCETO AS CLASSIFICADAS NOS CEST 08.005.00 E 08.006.00
0800800;82030000,82031010,82031090,82032010,82033000,82034000;LIMAS, GROSAS, ALICATES (MESMO CORTANTES), TENAZES, PINCAS, CISALHAS PARA METAIS, CORTA-TUBOS, CORTA-PINOS, SACA-BOCADOS E FERRAMENTAS SEMELHANTES, MANUAIS, EXCETO AS PINCAS PARA SOBRANCELHAS CLASSIFICADAS NA POSICAO 8203.20.90
0800900;82040000,82041100,82041200,82042000;CHAVES DE PORCAS, MANUAIS (INCLUIDAS AS CHAVES DINAMOMETRICAS), CHAVES DE CAIXA INTERCAMBIAVEIS, MESMO COM CABOS
0801000;82050000,82051000,82052000,82053000,82054000,82055100,82055900,82056000,82057000,82059000;FERRAMENTAS MANUAIS (INCLUIDOS OS DIAMANTES DE VIDRACEIRO) NAO ESPECIFICADAS NEM COMPREENDIDAS EM OUTRAS POSICOES, LAMPARINAS OU LAMPADAS DE SOLDAR (MACARICOS) E SEMELHANTES, TORNOS DE APERTAR, SARGENTOS E SEMELHANTES, EXCETO OS ACESSORIOS OU PARTES DE MAQUINAS-FERRAMENTAS, BIGORNAS, FORJAS-PORTATEIS, MOS COM ARMACAO, MANUAIS OU DE PEDAL
0801100;82060000;FERRAMENTAS DE PELO MENOS DUAS DAS POSICOES 8202 A 8205, ACONDICIONADAS EM SORTIDOS PARA VENDA A RETALHO
0801200;82074000,82074010,82074020,82076000,82077000;FERRAMENTAS DE ROSCAR INTERIOR OU EXTERIORMENTE, DE MANDRILAR OU DE BROCHAR, E DE FRESAR
0801300;82070000,82071300,82071900,82072000,82073000,82075011,82075019,82075090,82076000,82077010,82077020,82077090,82078000,82079000;OUTRAS FERRAMENTAS INTERCAMBIAVEIS PARA FERRAMENTAS MANUAIS, MESMO MECANICAS, OU PARA MAQUINAS-FERRAMENTAS (POR EXEMPLO, DE EMBUTIR, ESTAMPAR, PUNCIONAR, FURAR, TORNEAR, APARAFUSAR), INCLUIDAS AS FIEIRAS DE ESTIRAGEM OU DE EXTRUSAO, PARA METAIS, E AS FERRAMENTAS DE PERFURACAO OU DE SONDAGEM, EXCETO FORMA OU GABARITO DE PRODUTOS EM EPOXY E AS CLASSIFICADAS NO CEST 08.012.00
0801400;82080000,82081000,82082000,82083000,82084000,82089000;FACAS E LAMINAS CORTANTES, PARA MAQUINAS OU PARA APARELHOS MECANICOS
0801500;82090011;PLAQUETAS OU PASTILHAS INTERCAMBIAVEIS
0801600;82090000,82090019,82090090;OUTRAS PLAQUETAS, VARETAS, PONTAS E OBJETOS SEMELHANTES PARA FERRAMENTAS, NAO MONTADOS, DE CERAMAIS (OCERMETS”), EXCETO AS CLASSIFICADAS NO CEST 08.015.00
0801700;82110000,82111000,82119100,82119210,82119220,82119290,82119310,82119320,82119390,82119400,82119500;FACAS DE LAMINA CORTANTE OU SERRILHADA, INCLUIDAS AS PODADEIRAS DE LAMINA MOVEL, E SUAS LAMINAS, EXCETO AS DE USO DOMESTICO
0801800;82130000;TESOURAS E SUAS LAMINAS
0801900;84670000,84671110,84671190,84671900,84672200,84672910,84672991,84672992,84672993,84672999,84678900,84679100,84679200,84679900;FERRAMENTAS PNEUMATICAS, HIDRAULICAS OU COM MOTOR (ELETRICO OU NAO ELETRICO) INCORPORADO, DE USO MANUAL, EXCETO O DESCRITO NO CEST 08.019.01
0801901;84678100;MOTO-SERRAS PORTATEIS DE CORRENTE, COM MOTOR INCORPORADO, NAO ELETRICO, DE USO AGRICOLA
0802000;90150000,90151000,90152010,90152090,90153000,90154000,90158010,90158090,90159010,90159090;INSTRUMENTOS E APARELHOS DE GEODESIA, TOPOGRAFIA, AGRIMENSURA, NIVELAMENTO, FOTOGRAMETRIA, HIDROGRAFIA, OCEANOGRAFIA, HIDROLOGIA, METEOROLOGIA OU DE GEOFISICA, EXCETO BUSSOLAS, TELEMETROS
0802100;90172000,90173000,90173010,90173020,90173090,90178000,90178010,90178090,90179090;INSTRUMENTOS DE DESENHO, DE TRACADO OU DE CALCULO, METROS, MICROMETROS, PAQUIMETROS, CALIBRES E SEMELHANTES, PARTES E ACESSORIOS
0802200;90251190,90259010;TERMOMETROS, SUAS PARTES E ACESSORIOS
0802300;90251900,90251910,90259090;PIROMETROS, SUAS PARTES E ACESSORIOS
0900100;85390000,85393100,85393200,85393900,85394110,85394190,85394900,85399010,85399020,85399090;LAMPADAS ELETRICAS
0900200;85400000,85401100,85401200,85402011,85402019,85402020,85402090,85404000,85406010,85406090,85407100,85407900,85408100,85408910,85408990,85409110,85409120,85409130,85409140,85409190,85409900;LAMPADAS ELETRONICAS
0900300;85041000;REATORES PARA LAMPADAS OU TUBOS DE DESCARGAS
0900400;85365000,85365010,85365020,85365030,85365090;OSTARTER”
0900500;85395000;LAMPADAS DE LED (DIODOS EMISSORES DE LUZ)
1000100;25220000,25221000,25222000,25223000;CAL
1000200;38160010,38160011,38160012,38160019,38245000;ARGAMASSAS
1000300;32149000;OUTRAS ARGAMASSAS
1000400;39100000,39100011,39100012,39100013,39100019,39100021,39100029,39100030,39100090;SILICONES EM FORMAS PRIMARIAS, PARA USO NA CONSTRUCAO
1000500;39160000,39169010,39169090;REVESTIMENTOS DE PVC E OUTROS PLASTICOS, FORRO, SANCAS E AFINS DE PVC, PARA USO NA CONSTRUCAO
1000600;39170000;TUBOS, E SEUS ACESSORIOS (POR EXEMPLO, JUNTAS, COTOVELOS, FLANGES, UNIOES), DE PLASTICOS, PARA USO NA CONSTRUCAO
1000700;39180000,39189000;REVESTIMENTO DE PAVIMENTO DE PVC E OUTROS PLASTICOS
1000800;39190000,39199000,39199010,39199020,39199090;CHAPAS, FOLHAS, TIRAS, FITAS, PELICULAS E OUTRAS FORMAS PLANAS, AUTOADESIVAS, DE PLASTICOS, MESMO EM ROLOS, PARA USO NA CONSTRUCAO
1000900;39190000,39200000,39201010,39201091,39201099,39202011,39202012,39202090,39203000,39204310,39204390,39204900,39205100,39205900,39206100,39206211,39206219,39206291,39206299,39206300,39206900,39207100,39207310,39207390,39207910,39207990,39209100,39209200,39209300,39209400,39209910,39209920,39209930,39209940,39209950,39209990,39210000;VEDA ROSCA, LONA PLASTICA PARA USO NA CONSTRUCAO, FITAS ISOLANTES E AFINS
1001000;39210000,39211100,39211200,39211310,39211390,39211400,39211900,39219011,39219012,39219013,39219019,39219020,39219090;TELHA DE PLASTICO, MESMO REFORCADA COM FIBRA DE VIDRO
1001100;39210000;CUMEEIRA DE PLASTICO, MESMO REFORCADA COM FIBRA DE VIDRO
1001200;39210000;CHAPAS, LAMINADOS PLASTICOS EM BOBINA, PARA USO NA CONSTRUCAO, EXCETO OS DESCRITOS NO CEST 10.010.00 E 10.011.00
1001300;39220000,39221000,39222000,39229000;BANHEIRAS, BOXES PARA CHUVEIROS, PIAS, LAVATORIOS, BIDES, SANITARIOS E SEUS ASSENTOS E TAMPAS, CAIXAS DE DESCARGA E ARTIGOS SEMELHANTES PARA USOS SANITARIOS OU HIGIENICOS, DE PLASTICOS
1001400;39240000;ARTEFATOS DE HIGIENE/TOUCADOR DE PLASTICO, PARA USO NA CONSTRUCAO
1001500;39251000;CAIXA D’AGUA, INCLUSIVE SUA TAMPA, DE PLASTICO, MESMO REFORCADAS COM FIBRA DE VIDRO
1001600;39259000,39259010,39259090;OUTRAS TELHAS, CUMEEIRA E CAIXA D’AGUA, INCLUSIVE SUA TAMPA, DE PLASTICO, MESMO REFORCADAS COM FIBRA DE VIDRO
1001700;39251000,39259000;ARTEFATOS PARA APETRECHAMENTO DE CONSTRUCOES, DE PLASTICOS, NAO ESPECIFICADOS NEM COMPREENDIDOS EM OUTRAS POSICOES, INCLUINDO PERSIANAS, SANCAS, MOLDURAS, APLIQUES E ROSETAS, CAIXILHOS DE POLIETILENO E OUTROS PLASTICOS, EXCETO OS DESCRITOS NOS CEST 10.015.00 E 10.016.00
1001800;39252000;PORTAS, JANELAS E SEUS CAIXILHOS, ALIZARES E SOLEIRAS
1001900;39253000;POSTIGOS, ESTORES (INCLUIDAS AS VENEZIANAS) E ARTEFATOS SEMELHANTES E SUAS PARTES
1002000;39269000,39269010,39269021,39269022,39269030,39269040,39269050,39269061,39269069;OUTRAS OBRAS DE PLASTICO, PARA USO NA CONSTRUCAO
1002100;48140000,48142000,48149000;PAPEL DE PAREDE E REVESTIMENTOS DE PAREDE SEMELHANTES, PAPEL PARA VITRAIS
1002200;68101900;TELHAS DE CONCRETO
1002300;68110000,68114000,68118100,68118200,68118900;TELHA, CUMEEIRA E CAIXA D’AGUA, INCLUSIVE SUA TAMPA, DE FIBROCIMENTO, CIMENTO-CELULOSE
1002400;68110000;CAIXAS D’AGUA, TANQUES E RESERVATORIOS E SUAS TAMPAS, TELHAS, CALHAS, CUMEEIRAS E AFINS, DE FIBROCIMENTO, CIMENTO-CELULOSE OU SEMELHANTES, CONTENDO OU NAO AMIANTO, EXCETO OS DESCRITOS NO ITEM 23.0
1002500;69010000;TIJOLOS, PLACAS (LAJES), LADRILHOS E OUTRAS PECAS CERAMICAS DE FARINHAS SILICIOSAS FOSSEIS (OKIESELGHUR”, TRIPOLITA, DIATOMITA, POR EXEMPLO) OU DE TERRAS SILICIOSAS SEMELHANTES
1002600;69020000,69021011,69021018,69021019,69021090,69022010,69022091,69022092,69022093,69022099,69029010,69029020,69029030,69029040,69029090;TIJOLOS, PLACAS (LAJES), LADRILHOS E PECAS CERAMICAS SEMELHANTES, PARA USO NA CONSTRUCAO, REFRATARIOS, QUE NAO SEJAM DE FARINHAS SILICIOSAS FOSSEIS NEM DE TERRAS SILICIOSAS SEMELHANTES
1002700;69040000,69041000,69049000;TIJOLOS PARA CONSTRUCAO, TIJOLEIRAS, TAPA-VIGAS E PRODUTOS SEMELHANTES, DE CERAMICA
1002800;69050000,69051000,69059000;TELHAS, ELEMENTOS DE CHAMINES, CONDUTORES DE FUMACA, ORNAMENTOS ARQUITETONICOS, DE CERAMICA, E OUTROS PRODUTOS CERAMICOS PARA USO NA CONSTRUCAO
1002900;69060000;TUBOS, CALHAS OU ALGEROZES E ACESSORIOS PARA CANALIZACOES, DE CERAMICA
1003000;69070000,69071000,69072100,69072200,69072300,69073000,69074000,69079000;LADRILHOS E PLACAS DE CERAMICA, EXCLUSIVAMENTE PARA PAVIMENTACAO OU REVESTIMENTO
1003001;69070000;CUBOS, PASTILHAS E ARTIGOS SEMELHANTES DE CERAMICA, MESMO COM SUPORTE.
1003100;69100000,69101000,69109000;PIAS, LAVATORIOS, COLUNAS PARA LAVATORIOS, BANHEIRAS, BIDES, SANITARIOS, CAIXAS DE DESCARGA, MICTORIOS E APARELHOS FIXOS SEMELHANTES PARA USOS SANITARIOS, DE CERAMICA
1003200;69120000;ARTEFATOS DE HIGIENE/TOUCADOR DE CERAMICA
1003300;70030000,70031200,70031900,70032000,70033000;VIDRO VAZADO OU LAMINADO, EM CHAPAS, FOLHAS OU PERFIS, MESMO COM CAMADA ABSORVENTE, REFLETORA OU NAO, MAS SEM QUALQUER OUTRO TRABALHO
1003400;70040000,70042000,70049000;VIDRO ESTIRADO OU SOPRADO, EM FOLHAS, MESMO COM CAMADA ABSORVENTE, REFLETORA OU NAO, MAS SEM QUALQUER OUTRO TRABALHO
1003500;70050000,70051000,70052100,70052900,70053000;VIDRO FLOTADO E VIDRO DESBASTADO OU POLIDO EM UMA OU EM AMBAS AS FACES, EM CHAPAS OU EM FOLHAS, MESMO COM CAMADA ABSORVENTE, REFLETORA OU NAO, MAS SEM QUALQUER OUTRO TRABALHO
1003600;70071900;VIDROS TEMPERADOS
1003700;70072900;VIDROS LAMINADOS
1003800;70080000;VIDROS ISOLANTES DE PAREDES MULTIPLAS
1003900;70160000,70161000,70169000;BLOCOS, PLACAS, TIJOLOS, LADRILHOS, TELHAS E OUTROS ARTEFATOS, DE VIDRO PRENSADO OU MOLDADO, MESMO ARMADO, PARA USO NA CONSTRUCAO, CUBOS, PASTILHAS E OUTROS ARTIGOS SEMELHANTES
1004000;72142000;BARRAS PROPRIAS PARA CONSTRUCOES, EXCETO VERGALHOES
1004100;73089010;OUTRAS BARRAS PROPRIAS PARA CONSTRUCOES, EXCETO VERGALHOES
1004200;72142000;VERGALHOES
1004300;72130000,72131000,72132000,72139110,72139190,72139910,72139990,73089010;OUTROS VERGALHOES
1004400;72171090,73120000,73121010,73121090,73129000;FIOS DE FERRO OU ACO NAO LIGADOS, NAO REVESTIDOS, MESMO POLIDOS, CORDAS, CABOS, TRANCAS (ENTRANCADOS), LINGAS E ARTEFATOS SEMELHANTES, DE FERRO OU ACO, NAO ISOLADOS PARA USOS ELETRICOS
1004500;72172010;OUTROS FIOS DE FERRO OU ACO, NAO LIGADOS, GALVANIZADOS COM TEOR DE CARBONO SUPERIOR OU IGUAL A 0,6%, EM PESO
1004501;72172090;OUTROS FIOS DE FERRO OU ACO, NAO LIGADOS, GALVANIZADOS
1004600;73070000,73071100,73071910,73071920,73071990,73072100,73072200,73072300,73072900,73079100,73079200,73079300,73079900;ACESSORIOS PARA TUBOS (INCLUSIVE UNIOES, COTOVELOS, LUVAS OU MANGAS), DE FERRO FUNDIDO, FERRO OU ACO
1004700;73083000;PORTAS E JANELAS, E SEUS CAIXILHOS, ALIZARES E SOLEIRAS DE FERRO FUNDIDO, FERRO OU ACO
1004800;73084000,73089000;MATERIAL PARA ANDAIMES, PARA ARMACOES (COFRAGENS) E PARA ESCORAMENTOS, (INCLUSIVE ARMACOES PRONTAS, PARA ESTRUTURAS DE CONCRETO ARMADO OU ARGAMASSA ARMADA), ELETROCALHAS E PERFILADOS DE FERRO FUNDIDO, FERRO OU ACO, PROPRIOS PARA CONSTRUCAO, EXCETO TRELICAS DE ACO
1004900;73084000;TRELICAS DE ACO
1005000;73089090;TELHAS METALICAS
1005100;73100000,73101010,73101090,73102110,73102190,73102910,73102920,73102990;CAIXAS DIVERSAS (TAIS COMO CAIXA DE CORREIO, DE ENTRADA DE AGUA, DE ENERGIA, DE INSTALACAO) DE FERRO FUNDIDO, FERRO OU ACO, PROPRIAS PARA A CONSTRUCAO
1005200;73130000;ARAME FARPADO, DE FERRO OU ACO, ARAMES OU TIRAS, RETORCIDOS, MESMO FARPADOS, DE FERRO OU ACO, DOS TIPOS UTILIZADOS EM CERCAS
1005300;73140000,73141200,73141400,73141900,73142000,73143100,73143900,73144100,73144200,73144900;TELAS METALICAS, GRADES E REDES, DE FIOS DE FERRO OU ACO
1005400;73151100;CORRENTES DE ROLOS, DE FERRO FUNDIDO, FERRO OU ACO
1005500;73151290;OUTRAS CORRENTES DE ELOS ARTICULADOS, DE FERRO FUNDIDO, FERRO OU ACO
1005600;73158200;CORRENTES DE ELOS SOLDADOS, DE FERRO FUNDIDO, DE FERRO OU ACO
1005700;73170000,73170010,73170020,73170030,73170090;TACHAS, PREGOS, PERCEVEJOS, ESCAPULAS, GRAMPOS ONDULADOS OU BISELADOS E ARTEFATOS SEMELHANTES, DE FERRO FUNDIDO, FERRO OU ACO, MESMO COM A CABECA DE OUTRA MATERIA, EXCETO COBRE
1005800;73180000,73181100,73181200,73181300,73181400,73181500,73181600,73181900,73182100,73182200,73182300,73182400,73182900;PARAFUSOS, PINOS OU PERNOS, ROSCADOS, PORCAS, TIRA-FUNDOS, GANCHOS ROSCADOS, REBITES, CHAVETAS, CAVILHAS, CONTRAPINOS, ARRUELAS (INCLUIDAS AS DE PRESSAO) E ARTEFATOS SEMELHANTES, DE FERRO FUNDIDO, FERRO OU ACO
1005900;73230000,73239100,73239200,73239300,73239400,73239900;PALHA DE FERRO OU ACO, EXCETO OS DE USO DOMESTICO CLASSIFICADOS NA POSICAO NCM 7323.10.00
1005901;73230000;ESPONJAS, ESFREGOES, LUVAS E ARTEFATOS SEMELHANTES PARA LIMPEZA, POLIMENTO E USOS SEMELHANTES, DE FERRO OU ACO, EXCETO OS DE USO DOMESTICO CLASSIFICADOS NA POSICAO NCM 7323.10.00
1006000;73240000,73241000,73242100,73242900,73249000;ARTEFATOS DE HIGIENE OU DE TOUCADOR, E SUAS PARTES, DE FERRO FUNDIDO, FERRO OU ACO, INCLUIDAS AS PIAS, BANHEIRAS, LAVATORIOS, CUBAS, MICTORIOS, TANQUES E AFINS DE FERRO FUNDIDO, FERRO OU ACO, PARA USO NA CONSTRUCAO
1006100;73250000;OUTRAS OBRAS MOLDADAS, DE FERRO FUNDIDO, FERRO OU ACO, PARA USO NA CONSTRUCAO
1006200;73260000,73261100,73261900,73262000,73269010,73269090;ABRACADEIRAS
1006300;74070000,74071010,74071021,74071029,74072110,74072120,74072910,74072921,74072929;BARRAS DE COBRE
1006400;74111010;TUBOS DE COBRE E SUAS LIGAS, PARA INSTALACOES DE AGUA QUENTE E GAS, PARA USO NA CONSTRUCAO
1006500;74120000,74121000,74122000;ACESSORIOS PARA TUBOS (POR EXEMPLO, UNIOES, COTOVELOS, LUVAS OU MANGAS) DE COBRE E SUAS LIGAS, PARA USO NA CONSTRUCAO
1006600;74150000,74151000,74152100,74152900,74153300,74153900;TACHAS, PREGOS, PERCEVEJOS, ESCAPULAS E ARTEFATOS SEMELHANTES, DE COBRE, OU DE FERRO OU ACO COM CABECA DE COBRE, PARAFUSOS, PINOS OU PERNOS, ROSCADOS, PORCAS, GANCHOS ROSCADOS, REBITES, CHAVETAS, CAVILHAS, CONTRAPINOS, ARRUELAS (INCLUIDAS AS DE PRESSAO), E ARTEFATOS SEMELHANTES, DE COBRE
1006700;74182000;ARTEFATOS DE HIGIENE/TOUCADOR DE COBRE, PARA USO NA CONSTRUCAO
1006800;76071990;MANTA DE SUBCOBERTURA ALUMINIZADA
1006900;76080000,76081000,76082010,76082090;TUBOS DE ALUMINIO E SUAS LIGAS, PARA REFRIGERACAO E AR CONDICIONADO, PARA USO NA CONSTRUCAO
1007000;76090000;ACESSORIOS PARA TUBOS (POR EXEMPLO, UNIOES, COTOVELOS, LUVAS OU MANGAS), DE ALUMINIO, PARA USO NA CONSTRUCAO
1007100;76100000,76101000,76109000;CONSTRUCOES E SUAS PARTES (POR EXEMPLO, PONTES E ELEMENTOS DE PONTES, TORRES, PORTICOS OU PILONES, PILARES, COLUNAS, ARMACOES, ESTRUTURAS PARA TELHADOS, PORTAS E JANELAS, E SEUS CAIXILHOS, ALIZARES E SOLEIRAS, BALAUSTRADAS), DE ALUMINIO, EXCETO AS CONSTRUCOES PRE-FABRICADAS DA POSICAO 9406, CHAPAS, BARRAS, PERFIS, TUBOS E SEMELHANTES, DE ALUMINIO, PROPRIOS PARA CONSTRUCOES
1007200;76152000;ARTEFATOS DE HIGIENE/TOUCADOR DE ALUMINIO, PARA USO NA CONSTRUCAO
1007300;76160000,76161000,76169100,76169900;OUTRAS OBRAS DE ALUMINIO, PROPRIAS PARA CONSTRUCOES, INCLUIDAS AS PERSIANAS
1007400;83024100;OUTRAS GUARNICOES, FERRAGENS E ARTIGOS SEMELHANTES DE METAIS COMUNS, PARA CONSTRUCOES, INCLUSIVE PUXADORES.
1007500;83010000,83011000,83013000,83014000,83015000,83016000;FECHADURAS E FERROLHOS (DE CHAVE, DE SEGREDO OU ELETRICOS), DE METAIS COMUNS, INCLUIDAS AS SUAS PARTES FECHOS E ARMACOES COM FECHO, COM FECHADURA, DE METAIS COMUNS CHAVES PARA ESTES ARTIGOS, DE METAIS COMUNS, EXCETO OS DE USO AUTOMOTIVO
1007600;83021000;DOBRADICAS DE METAIS COMUNS, DE QUALQUER TIPO
1007700;83070000,83071010,83071090,83079000;TUBOS FLEXIVEIS DE METAIS COMUNS, MESMO COM ACESSORIOS, PARA USO NA CONSTRUCAO
1007800;83110000,83111000,83112000,83113000,83119000;FIOS, VARETAS, TUBOS, CHAPAS, ELETRODOS E ARTEFATOS SEMELHANTES, DE METAIS COMUNS OU DE CARBONETOS METALICOS, REVESTIDOS EXTERIOR OU INTERIORMENTE DE DECAPANTES OU DE FUNDENTES, PARA SOLDAGEM (SOLDADURA) OU DEPOSITO DE METAL OU DE CARBONETOS METALICOS FIOS E VARETAS DE POS DE METAIS COMUNS AGLOMERADOS, PARA METALIZACAO POR PROJECAO
1007900;84810000,84813000,84814000,84818011,84818019,84818021,84818029,84818031,84818039,84818091,84818093,84818094,84818095,84818096,84818097,84818099,84819010,84819090;TORNEIRAS, VALVULAS (INCLUIDAS AS REDUTORAS DE PRESSAO E AS TERMOSTATICAS) E DISPOSITIVOS SEMELHANTES, PARA CANALIZACOES, CALDEIRAS, RESERVATORIOS, CUBAS E OUTROS RECIPIENTES
1008000;70090000,70099100,70099200;ESPELHOS DE VIDRO, MESMO EMOLDURADOS, EXCETO OS DE USO AUTOMOTIVO
1100100;28289011,28289019,32064100,34022000,38089419;AGUA SANITARIA, BRANQUEADOR E OUTROS ALVEJANTES
1100200;34012090;SABOES EM PO, FLOCOS, PALHETAS, GRANULOS OU OUTRAS FORMAS SEMELHANTES, PARA LAVAR ROUPAS
1100300;34012090;SABOES LIQUIDOS PARA LAVAR ROUPAS
1100400;34022000;DETERGENTES EM PO, FLOCOS, PALHETAS, GRANULOS OU OUTRAS FORMAS SEMELHANTES
1100500;34022000;DETERGENTES LIQUIDOS, EXCETO PARA LAVAR ROUPA
1100600;34022000;DETERGENTE LIQUIDO PARA LAVAR ROUPA
1100700;34020000,34021110,34021120,34021130,34021140,34021190,34021210,34021290,34021300,34021900,34029011,34029019,34029021,34029022,34029023,34029029,34029031,34029039,34029090;OUTROS AGENTES ORGANICOS DE SUPERFICIE (EXCETO SABOES), PREPARACOES TENSOATIVAS, PREPARACOES PARA LAVAGEM (INCLUIDAS AS PREPARACOES AUXILIARES PARA LAVAGEM) E PREPARACOES PARA LIMPEZA (INCLUSIVE MULTIUSO E LIMPADORES), MESMO CONTENDO SABAO, EXCETO OS PRODUTOS DESCRITOS NOS CEST 11.001.00, 11.004.00, 11.005.00 E 11.006.00, EM EMBALAGEM DE CONTEUDO INFERIOR OU IGUAL A 50 LITROS OU 50 KG
1100800;38099190;AMACIANTE/SUAVIZANTE
1100900;39241000,39249000,68053010,68053090;ESPONJAS PARA LIMPEZA
1101000;22070000,22089000;ALCOOL ETILICO PARA LIMPEZA
1101100;73231000;ESPONJAS E PALHAS DE ACO, ESPONJAS PARA LIMPEZA, POLIMENTO OU USO SEMELHANTES, TODAS DE USO DOMESTICO
1101200;39232000,39232110,39232190,39232910,39232990;SACOS DE LIXO DE CONTEUDO IGUAL OU INFERIOR A 100 LITROS
1200100;85040000,85042100,85042200,85042300,85043111,85043119,85043191,85043192,85043199,85043211,85043219,85043221,85043229,85043300,85043400,85044021,85044022,85044029,85044030,85044050,85044060,85044090,85049010,85049020,85049030,85049040,85049090;TRANSFORMADORES, BOBINAS DE REATANCIA E DE AUTO INDUCAO, INCLUSIVE OS TRANSFORMADORES DE POTENCIA SUPERIOR A 16 KVA, CLASSIFICADOS NAS POSICOES 8504.33.00 E 8504.34.00, EXCETO OS DEMAIS TRANSFORMADORES DA SUBPOSICAO 8504.3, OS REATORES PARA LAMPADAS ELETRICAS DE DESCARGA CLASSIFICADOS NO CODIGO 8504.10.00, OS CARREGADORES DE ACUMULADORES DO CODIGO 8504.40.10, OS EQUIPAMENTOS DE ALIMENTACAO ININTERRUPTA DE ENERGIA (UPS OU ONO BREAK”), NO CODIGO 8504.40.40 E OS DE USO AUTOMOTIVO
1200200;85160000,85162100,85162900,85163300,85168010,85168090;AQUECEDORES ELETRICOS DE AGUA, INCLUIDOS OS DE IMERSAO, CHUVEIROS OU DUCHAS ELETRICOS, TORNEIRAS ELETRICAS, RESISTENCIAS DE AQUECIMENTO, INCLUSIVE AS DE DUCHAS E CHUVEIROS ELETRICOS E SUAS PARTES, EXCETO OUTROS FORNOS, FOGAREIROS (INCLUIDAS AS CHAPAS DE COCCAO), GRELHAS E ASSADEIRAS, CLASSIFICADOS NA POSICAO 8516.60.00
1200300;85350000,85351000,85352100,85352900,85354010,85354090,85359000;APARELHOS PARA INTERRUPCAO, SECCIONAMENTO, PROTECAO, DERIVACAO, LIGACAO OU CONEXAO DE CIRCUITOS ELETRICOS (POR EXEMPLO, INTERRUPTORES, COMUTADORES, CORTA-CIRCUITOS, PARA-RAIOS, LIMITADORES DE TENSAO, ELIMINADORES DE ONDA, TOMADAS DE CORRENTE E OUTROS CONECTORES, CAIXAS DE JUNCAO), PARA TENSAO SUPERIOR A 1.000V, EXCETO OS DE USO AUTOMOTIVO
1200400;85360000,85363000,85363010,85363090,85366100,85366910,85366990,85367000,85369010,85369020,85369030,85369040,85369050,85369060,85369090;APARELHOS PARA INTERRUPCAO, SECCIONAMENTO, PROTECAO, DERIVACAO, LIGACAO OU CONEXAO DE CIRCUITOS ELETRICOS (POR EXEMPLO, INTERRUPTORES, COMUTADORES, RELES, CORTA-CIRCUITOS, ELIMINADORES DE ONDA, PLUGUES E TOMADAS DE CORRENTE, SUPORTES PARA LAMPADAS E OUTROS CONECTORES, CAIXAS DE JUNCAO), PARA UMA TENSAO NAO SUPERIOR A 1.000V, CONECTORES PARA FIBRAS OPTICAS, FEIXES OU CABOS DE FIBRAS OPTICAS, EXCETO OSTARTER” CLASSIFICADO NA SUBPOSICAO 8536.50 E OS DE USO AUTOMOTIVO
1200500;85380000;PARTES RECONHECIVEIS COMO EXCLUSIVA OU PRINCIPALMENTE DESTINADAS AOS APARELHOS DAS POSICOES 8535 E 8536
1200600;74130000;CABOS, TRANCAS E SEMELHANTES, DE COBRE, NAO ISOLADOS PARA USOS ELETRICOS, EXCETO OS DE USO AUTOMOTIVO
